HAZUS_CLASS,median_slight_Sa10,median_moderate_Sa10,median_extensive_Sa10,median_complete_Sa10,beta_slight_Sa10,beta_moderate_Sa10,beta_extensive_Sa10,beta_complete_Sa10,median_slight_pgd,median_moderate_pgd,median_extensive_pgd,median_complete_pgd,beta_slight_pgd,beta_moderate_pgd,beta_extensive_pgd,beta_complete_pgd,EQ,A,B,I_shape
HWB1,0.4,0.5,0.7,0.9,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,0
HWB2,0.6,0.9,1.1,1.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,0
HWB3,0.8,1,1.2,1.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,1
HWB4,0.8,1,1.2,1.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,1
HWB5,0.25,0.35,0.45,0.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,0
HWB6,0.3,0.5,0.6,0.9,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,0
HWB7,0.5,0.8,1.1,1.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,0
HWB8,0.35,0.45,0.55,0.8,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ2,0.33,0,0
HWB9,0.6,0.9,1.3,1.6,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ3,0.33,1,0
HWB10,0.6,0.9,1.1,1.5,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ2,0.33,0,1
HWB11,0.9,0.9,1.1,1.5,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ3,0.33,1,1
HWB12,0.25,0.35,0.45,0.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ4,0.09,1,0
HWB13,0.3,0.5,0.6,0.9,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ4,0.09,1,0
HWB14,0.5,0.8,1.1,1.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,0
HWB15,0.75,0.75,0.75,1.1,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ5,0.05,0,1
HWB16,0.9,0.9,1.1,1.5,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ3,0.33,1,1
HWB17,0.25,0.35,0.45,0.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,0
HWB18,0.3,0.5,0.6,0.9,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,0
HWB19,0.5,0.8,1.1,1.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ1,0.25,1,0
HWB20,0.35,0.45,0.55,0.8,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ2,0.33,0,0
HWB21,0.6,0.9,1.3,1.6,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ3,0.33,1,0
HWB22,0.6,0.9,1.1,1.5,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ2,0.33,0,1
HWB23,0.9,0.9,1.1,1.5,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ3,0.33,1,1
HWB24,0.25,0.35,0.45,0.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ6,0.2,1,0
HWB25,0.3,0.5,0.6,0.9,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ6,0.2,1,0
HWB26,0.75,0.75,0.75,1.1,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ7,0.1,0,1
HWB27,0.75,0.75,0.75,1.1,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,EQ7,0.1,0,1
HWB28,0.8,1,1.2,1.7,0.6,0.6,0.6,0.6,3.9,3.9,3.9,13.8,0.2,0.2,0.2,0.2,,0,0,0
